Year,CO2_tonnes_per_terajoule
1971,66.342
1972,66.669
1973,66.029
1974,69.935
1975,70.993
1976,70.265
1977,70.585
1978,68.66
1979,69.345
1980,70.937
1981,70.672
1982,69.791
1983,68.831
1984,68.719
1985,72.137
1986,71.49
1987,71.467
1988,72.779
1989,72.273
1990,71.961
1991,73.237
1992,73.012
1993,70.443
1994,71.921
1995,73.661
1996,71.253
1997,71.476
1998,74.171
1999,73.957
2000,73.934
2001,77.014
2002,78.013
2003,75.124
2004,76.68
2005,76.66
2006,74.83
2007,74.847
2008,72.745
2009,73.876
2010,74.132
2011,73.338
2012,74.267
2013,71.914
2014,70.535
2015,71.4
2016,73.015
2017,70.786
2018,69.996
2019,68.364
2020,65.72
2021,66.191
2022,66.325
