"featurenam","no_property","2011_energy_tJ","2012_energy_tJ","2013_energy_tJ","2014_energy_tJ","2015_energy_tJ","2016_energy_tJ","2017_energy_tJ","2018_energy_tJ","2019_energy_tJ","2020_energy_tJ","2021_energy_tJ"
"Carlton",2114,0.667346036245987,0.732158310525521,0.796970584805056,0.86178285908459,0.926595133364125,0.991407407643659,1.01690367393443,1.04239994022521,1.06789620651598,1.09339247280676,1.11888873909753
"Docklands",138,0.798207053985817,0.835924445937023,0.873641837888229,0.911359229839435,0.94907662179064,0.986794013741846,1.00777788284632,1.0287617519508,1.04974562105527,1.07072949015975,1.09171335926422
"East Melbourne",865,0.622917180026986,0.654401986900858,0.685886793774729,0.7173716006486,0.748856407522471,0.780341214396342,0.796918146554726,0.81349507871311,0.830072010871494,0.846648943029877,0.863225875188261
"Kensington",3269,0.214104213003573,0.260743514831784,0.307382816659994,0.354022118488205,0.400661420316416,0.447300722144626,0.460410014900502,0.473519307656377,0.486628600412253,0.499737893168128,0.512847185924004
"Melbourne (CBD)",1480,5.55781556181189,5.75154764893159,5.94527973605128,6.13901182317097,6.33274391029066,6.52647599741036,6.65473706817722,6.78299813894407,6.91125920971093,7.03952028047779,7.16778135124464
"Melbourne (Remainder)",63,0.522901183040519,0.544795210054734,0.566689237068948,0.588583264083162,0.610477291097377,0.632371318111591,0.648255354029003,0.664139389946414,0.680023425863826,0.695907461781238,0.711791497698649
"North Melbourne",2636,0.459939655349152,0.516572362294112,0.573205069239071,0.629837776184031,0.68647048312899,0.743103190073949,0.763959081668,0.784814973262051,0.805670864856101,0.826526756450152,0.847382648044203
"Parkville",815,0.855098002867743,0.905067327005793,0.955036651143843,1.00500597528189,1.05497529941994,1.10494462355799,1.14126226845406,1.17757991335013,1.2138975582462,1.25021520314228,1.28653284803835
"Port Melbourne",120,0.4264834660596,0.43493113955088,0.44337881304216,0.45182648653344,0.46027416002472,0.468721833516,0.4764278511576,0.4841338687992,0.4918398864408,0.4995459040824,0.507251921724
"South Yarra",768,0.0636379860364745,0.0828434841733535,0.102048982310232,0.121254480447111,0.14045997858399,0.159665476720869,0.164286684807,0.16890789289313,0.17352910097926,0.178150309065391,0.182771517151521
"Southbank",235,1.09056363497622,1.14264457703078,1.19472551908534,1.2468064611399,1.29888740319447,1.35096834524903,1.37809333082258,1.40521831639613,1.43234330196969,1.45946828754324,1.48659327311679
"West Melbourne (Industrial)",129,0.292354561972476,0.308620864911996,0.324887167851516,0.341153470791036,0.357419773730556,0.373686076670076,0.388994576095836,0.404303075521596,0.419611574947356,0.434920074373116,0.450228573798876
"West Melbourne (Residential)",931,0.244204583879634,0.270713417876919,0.297222251874205,0.32373108587149,0.350239919868775,0.37674875386606,0.390893887529197,0.405039021192334,0.41918415485547,0.433329288518607,0.447474422181744
